text_id	section	title	span_s	span_e
event15	0	crossbeats REV. 稼働記念フェスティバル	2015-07-24 18:00:00 +0900	2015-07-30 13:00:00 +0900
event16	0	エレクトロ☆ポップ特集	2015-09-08 15:00:00 +0900	2015-09-15 01:00:00 +0900
event17	0	ATTACK THE MUSIC特集	2015-12-04 18:00:00 +0900	2015-12-12 01:00:00 +0900
event18	0	NEW YEARフェスティバル2016	2016-01-07 18:00:00 +0900	2016-01-14 01:00:00 +0900
event19	0	ULTIMATE BEATS 第4弾	2016-03-02 18:00:00 +0900	2016-03-10 01:00:00 +0900
event20	0	SUNRISEカウントダウン記念杯	2016-04-15 18:00:00 +0900	2016-04-23 01:00:00 +0900
event21	0	EARLY SUMMER杯 2016	2016-06-08 18:00:00 +0900	2016-06-16 01:00:00 +0900
event22	0	ULTIMATE BEATS 第5弾	2016-08-09 18:00:00 +0900	2016-08-17 01:00:00 +0900
event23	0	GIRLS DANCE PARTY!!	2016-09-02 18:00:00 +0900	2016-09-10 01:00:00 +0900
event24	0	Yamajetフェスティバル	2016-10-11 10:00:00 +0900	2016-10-19 01:00:00 +0900
event25	0	CROSS×BEATS 3周年記念杯	2016-11-29 10:00:00 +0900	2016-12-07 01:00:00 +0900
