text_id	span_s	span_e	esy_level	esy_notes	std_level	std_notes	hrd_level	hrd_notes	mas_level	mas_notes	unl_level	unl_notes
wannabeyourspecial	2013-12-02	2015-12-17			8.0	89	20.0	163	34.0	230		
touchofgold	2013-12-02	2015-12-17			9.0	94	22.0	199	36.0	276		
amenootoganijiwoyobu	2013-12-02	2015-12-17			12.0	91	26.0	183	41.0	262		
kimitomusic	2013-12-02	2015-12-17			10.0	85	24.0	175	40.0	326		
landingonthemoon	2013-12-02	2015-12-17			18.0	148	27.0	210	37.0	297		
aqualight	2013-12-02	2015-12-17			14.0	122	33.0	258	52.0	378		
wanyowanyo	2013-12-02	2015-12-17			12.0	132	30.0	233	47.0	331		
lotuslove	2013-12-02	2015-12-17			17.0	173	35.0	249	62.0	358		
dirtymouth	2013-12-02	2015-12-17			12.0	137	25.0	242	50.0	360		
hontonowatashi	2013-12-02	2015-12-17			11.0	91	24.0	164	48.0	295		
jahacid	2013-12-02	2015-12-17			13.0	115	29.0	192	51.0	240		
breakyourworld	2013-12-02	2015-12-17			21.0	172	32.0	262	59.0	416		
whatiswrongwiththeworld	2013-12-02	2015-12-17			24.0	223	38.0	316	56.0	424		
binaryoverdrive	2013-12-02	2015-12-17			15.0	147	34.0	277	64.0	458		
breakdown	2013-12-02	2015-12-17			23.0	178	35.0	266	59.0	333		
hi	2013-12-02	2015-12-17			13.0	132	28.0	173	58.0	286		
otherside	2013-12-02	2015-12-17			14.0	143	31.0	206	56.0	318		
freakwithme	2013-12-02	2015-12-17			20.0	171	42.0	332	56.0	390		
mikakuninxxseimeitai	2013-12-02	2015-12-17			14.0	143	27.0	223	45.0	341		
loveless	2013-12-02	2015-12-17			17.0	162	33.0	294	53.0	406		
giantkilling	2013-12-02	2015-12-17			25.0	177	53.0	339	68.0	481		
theepic	2013-12-02	2015-12-17			15.0	149	38.0	283	60.0	419		
anomie	2013-12-02	2015-12-17			17.0	187	30.0	240	56.0	315		
azitate	2013-12-02	2015-12-17			22.0	204	55.0	329	70.0	536		
impact	2013-12-02	2015-12-17			21.0	192	60.0	397	72.0	540		
saigono1page	2013-12-02	2015-12-17			14.0	154	27.0	240	53.0	318		
crossangel	2013-12-02	2015-12-17			21.0	171	51.0	310	67.0	431		
dazzlingseason	2013-12-02	2015-12-17			35.0	250	62.0	412	80.0	562		
nextfrontier	2013-12-02	2015-12-17			42.0	352	65.0	509	82.0	574		
azitateprologue	2013-12-02	2015-12-17			20.0	143	52.0	275	61.0	353		
landingonthemooninst	2013-12-02	2015-12-17			18.0	140	32.0	211	55.0	306		
dynamitesensation	2013-12-02	2015-12-17			25.0	176	53.0	276	68.0	388		
diamondskin	2013-12-02	2015-12-17			10.0	73	17.0	109	25.0	187		
everkrack	2013-12-02	2015-12-17			15.0	172	27.0	204	41.0	355		
yuwaku	2013-12-02	2015-12-17			13.0	132	21.0	189	34.0	254		
justicefromguilty	2013-12-02	2015-12-17			15.0	110	28.0	183	40.0	300		
winteragain	2013-12-02	2015-12-17			14.0	121	18.0	145	37.0	264		
eternally	2013-12-02	2015-12-17			12.0	85	18.0	125	33.0	193		
aerial	2013-12-02	2015-12-17			11.0	63	28.0	149	56.0	389		
whatiswrongwiththeworldcross	2013-12-02	2015-12-17			20.0	86	41.0	228	64.0	356		
remilkyway	2013-12-02	2015-12-17			8.0	77	26.0	192	43.0	317		
sundrop	2013-12-02	2015-12-17			24.0	126	45.0	226	73.0	441		
childrenautomaton	2013-12-02	2015-12-17			24.0	133	41.0	181	57.0	292		
tsukaisutedeadworld	2013-12-02	2015-12-17			19.0	145	44.0	268	74.0	504		
dennoshojohautahimenoyumewomiruka	2013-12-02	2015-12-17			29.0	129	57.0	328	76.0	488		
reseed	2013-12-02	2015-12-17			20.0	122	47.0	254	63.0	450		
romancinggame	2013-12-02	2015-12-17			28.0	221	55.0	379	78.0	595		
anotherchance	2013-12-02	2015-12-17			27.0	132	37.0	195	57.0	389		
headphoneparty	2013-12-02	2015-12-17			23.0	141	32.0	217	52.0	372		
zi	2013-12-02	2015-12-17			28.0	171	45.0	227	86.0	542		
