text_id	seq	music_text_id	diff
class1	1	flowerwall	2
class1	2	bleeze	2
class1	3	killykillyjoker	2
class1	4	shootingstar	2
class2	1	gettheglory	2
class2	2	picorasete	2
class2	3	humannature	3
class2	4	roadofresistance	3
class3	1	landingonthemoon	3
class3	2	power	3
class3	3	thesignsofthelastday	3
class3	4	bluedestinyblue	4
class4	1	hoshitachinomelody	4
class4	2	technohighway	4
class4	3	tsukinari	4
class4	4	konen	4
class5	1	plannetcalling	4
class5	2	firefox	4
class5	3	anotheressence	4
class5	4	satellitesystem	4
